p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,index
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:49.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:49.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:50.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:50.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:51.018000
0,106,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:51.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:52.518000
0,45,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:53.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:54.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:55.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:55.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:56.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:56.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:57.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:57.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:58.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:58.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:59.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:59.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:04:00.018000
